chr	start	end	strand	pvalue	qvalue	meth.diff
chr1	2004001	2005000	*	1	0	14.0833203307848
chr1	2021001	2022000	*	1	0	-21.8807578448786
chr1	2025001	2026000	*	1	0	-13.9653557192454
chr1	2047001	2048000	*	1	0	12.3141357995858
chr1	2085001	2086000	*	1	0	-20.5298844801607
chr1	2089001	2090000	*	1	0	-10.0236864771749
chr1	2103001	2104000	*	1	0	-12.3902837313737
chr1	2104001	2105000	*	1	0	-14.5283204809185
chr1	2106001	2107000	*	1	0	-19.6273389180302
chr1	2107001	2108000	*	1	0	-32.2206208253909
chr1	2115001	2116000	*	1	0	-16.3862407862408
chr1	2125001	2126000	*	1	0	13.5161290322581
chr1	2146001	2147000	*	1	0	-11.4580772067863
chr1	2234001	2235000	*	1	0	36.7067343586681
chr1	2244001	2245000	*	1	0	-20.1747257212515
chr1	2289001	2290000	*	1	0	11.1399371069182
chr1	2305001	2306000	*	1	0	-13.6043133598146
chr1	2306001	2307000	*	1	0	-15.2816234445484
chr1	2335001	2336000	*	1	0	-10.9497429453449
chr1	2356001	2357000	*	1	0	13.0493576741041
chr1	2358001	2359000	*	1	0	10.9234342080061
chr1	2378001	2379000	*	1	0	-16.981486408238
chr1	2380001	2381000	*	1	0	-10.9098039215686
chr1	2384001	2385000	*	1	0	-14.6646859083192
chr1	2385001	2386000	*	1	0	-15.165567225523
chr1	2405001	2406000	*	1	0	-11.4954432477216
chr1	2406001	2407000	*	1	0	-12.0467779028233
chr1	2411001	2412000	*	1	0	-13.618771165941
chr1	2418001	2419000	*	1	0	-11.4579833453083
chr1	2438001	2439000	*	1	0	-10.987862497287
chr1	2441001	2442000	*	1	0	-12.5906298928098
chr1	2447001	2448000	*	0.99999994955752	0	-12.5727213962508
chr1	2448001	2449000	*	1	0	10.6360611102708
chr1	2451001	2452000	*	1	0	-22.1743512219703
chr1	2452001	2453000	*	1	0	-18.7730824405579
chr1	2455001	2456000	*	1	0	14.8404819878879
chr1	2458001	2459000	*	1	0	-10.3557165412836
chr1	2459001	2460000	*	1	0	12.5204081632653
chr1	2463001	2464000	*	1	0	14.9590163934426
chr1	2468001	2469000	*	1	0	-10.3695824581761
chr1	2477001	2478000	*	1	0	16.6590909090909
chr1	2493001	2494000	*	1	0	-18.9251345066956
chr1	2507001	2508000	*	1	0	-24.5496323529412
chr1	2514001	2515000	*	1	0	-10.8843537414966
chr1	2532001	2533000	*	1	0	-26.6112485300677
chr1	2592001	2593000	*	1	0	13.560812225246
chr1	2594001	2595000	*	1	0	18.7116883116883
chr1	2610001	2611000	*	1	0	-14.3322900365154
chr1	2806001	2807000	*	1	0	-20.5010734508472
chr1	2883001	2884000	*	1	0	11.5883269195529
chr1	2919001	2920000	*	1	0	12.1096613399795
chr1	2928001	2929000	*	1	0	-28.6636688573735
chr1	2947001	2948000	*	1	0	14.048114048114
chr1	2950001	2951000	*	1	0	10.8067125805823
chr1	2972001	2973000	*	1	0	-10.8693108693109
chr1	2973001	2974000	*	1	0	28.1340834505392
chr1	2985001	2986000	*	1	0	-14.4533639143731
chr1	3062001	3063000	*	1	0	10.0934814378469
chr1	3094001	3095000	*	1	0	-15.6374875124875
chr1	3100001	3101000	*	1	0	10.6148331954784
chr1	3112001	3113000	*	1	0	11.0564454614798
chr1	3121001	3122000	*	1	0	11.6783911222839
chr1	3132001	3133000	*	1	0	10.4311846689895
chr1	3154001	3155000	*	1	0	-13.895003863368
chr1	3155001	3156000	*	1	0	17.338282078473
chr1	3157001	3158000	*	1	0	-11.146001568571
chr1	3160001	3161000	*	1	0	-19.3188667872212
chr1	3174001	3175000	*	1	0	14.815275863602
chr1	3195001	3196000	*	1	0	-13.651513669487
chr1	3201001	3202000	*	1	0	13.0075429305088
chr1	3204001	3205000	*	1	0	-15.9706447667307
chr1	3221001	3222000	*	1	0	10.0002134745111
chr1	3231001	3232000	*	1	0	12.1894488454408
chr1	3237001	3238000	*	1	0	22.8571428571429
chr1	3240001	3241000	*	1	0	-10.7776706052568
chr1	3259001	3260000	*	1	0	-11.521164021164
chr1	3276001	3277000	*	1	0	15.0138983145388
chr1	3322001	3323000	*	1	0	21.5208082430082
chr1	3364001	3365000	*	1	0	11.5739553960523
chr1	3410001	3411000	*	1	0	13.3146345487543
chr1	3415001	3416000	*	1	0	11.2354312354312
chr1	3431001	3432000	*	1	0	-23.4249329758713
chr1	3480001	3481000	*	1	0	16.6020671834625
chr1	3484001	3485000	*	1	0	-14.6711353162966
chr1	3496001	3497000	*	1	0	21.5267319277108
chr1	3538001	3539000	*	1	0	11.8238234963348
chr1	3542001	3543000	*	1	0	15.4094527640149
chr1	3602001	3603000	*	1	0	13.0991324135969
chr1	3669001	3670000	*	1	0	-22.9836787089675
chr1	3678001	3679000	*	1	0	13.0118778280543
chr1	3713001	3714000	*	1	0	15.6055093555094
chr1	3727001	3728000	*	1	0	13.3621156749324
chr1	3731001	3732000	*	1	0	-11.4597461311076
chr1	3771001	3772000	*	1	0	-10.3310928553647
chr1	3881001	3882000	*	1	0	15.4079254079254
chr1	3948001	3949000	*	1	0	-15.8088235294118
chr1	3954001	3955000	*	1	0	-20.8023017761301
chr1	3955001	3956000	*	0.999999970877021	0	-19.4253312945974
chr1	4018001	4019000	*	1	0	-12.843148341862
chr1	4161001	4162000	*	1	0	-15.1963521310255
chr1	4217001	4218000	*	1	0	-13.1301534286609
chr1	4303001	4304000	*	1	0	14.7688060731539
chr1	4317001	4318000	*	1	0	-10.5813953488372
chr1	4463001	4464000	*	1	0	11.6741308462995
chr1	4627001	4628000	*	1	0	-24.1587037806398
chr1	4676001	4677000	*	1	0	-12.96918767507
chr1	4730001	4731000	*	1	0	-14.0271198226781
chr1	4734001	4735000	*	1	0	-12.658814901098
chr1	4914001	4915000	*	1	0	11.6666666666667
chr1	5671001	5672000	*	1	0	15.5233713269894
chr1	5713001	5714000	*	1	0	11.3212572627311
chr1	5719001	5720000	*	1	0	13.6084638992085
chr1	6028001	6029000	*	1	0	12.3100303951368
chr1	6035001	6036000	*	1	0	-21.641052599029
chr1	6061001	6062000	*	1	0	-23.2941176470588
chr1	6082001	6083000	*	1	0	-24.1228081735065
chr1	6083001	6084000	*	1	0	-11.0403590018371
chr1	6095001	6096000	*	1	0	-10.1918699186992
chr1	6098001	6099000	*	1	0	-16.7348538579268
chr1	6104001	6105000	*	1	0	-15.3634784014224
chr1	6161001	6162000	*	1	0	-34.0578778135048
chr1	6207001	6208000	*	0.999999946828958	0	34.1815097540288
chr1	6338001	6339000	*	1	0	-26.2
chr1	6404001	6405000	*	1	0	-10.062618319499
chr1	6425001	6426000	*	1	0	-10.5537576411363
chr1	6443001	6444000	*	1	0	16.7669172932331
chr1	6451001	6452000	*	1	0	-23.4223382749326
chr1	6460001	6461000	*	1	0	10.2249189632678
chr1	6489001	6490000	*	1	0	15.0684931506849
chr1	6586001	6587000	*	1	0	-12.0302287581699
chr1	6587001	6588000	*	1	0	-13.1179619249609
chr1	6735001	6736000	*	1	0	17.813199276584
chr1	6962001	6963000	*	1	0	13.6517115056871
chr1	7149001	7150000	*	1	0	17.6615050366712
chr1	7496001	7497000	*	1	0	16.9945355191257
chr1	7570001	7571000	*	0.999999930673443	0	12.1815889029004
chr1	8121001	8122000	*	1	0	14.3017367029818
chr1	8373001	8374000	*	1	0	-13.9126559714795
chr1	8681001	8682000	*	1	0	-16.022491022491
chr1	9037001	9038000	*	1	0	10.3260239006845
chr1	9039001	9040000	*	1	0	-12.9581446067461
chr1	9251001	9252000	*	1	0	-19.3429623336165
chr1	9324001	9325000	*	1	0	-22.5318798848211
chr1	9325001	9326000	*	1	0	-18.8223097402677
chr1	9385001	9386000	*	1	0	-10.119275173943
chr1	9475001	9476000	*	1	0	18.5680080327489
chr1	9503001	9504000	*	1	0	14.3155410312273
chr1	9601001	9602000	*	1	0	-14.5330777286685
chr1	9730001	9731000	*	1	0	-10.8217831558915
chr1	9735001	9736000	*	1	0	-11.5759722570868
chr1	10450001	10451000	*	1	0	-24.4470719154263
chr1	10651001	10652000	*	1	0	13.2223264540338
chr1	10669001	10670000	*	1	0	13.6558139534884
chr1	10717001	10718000	*	1	0	12.2692543639507
chr1	10830001	10831000	*	1	0	16.0219351693883
chr1	10849001	10850000	*	1	0	11.8998780352589
chr1	10898001	10899000	*	1	0	12.7850483652121
chr1	10901001	10902000	*	1	0	-13.4961984280125
chr1	10905001	10906000	*	1	0	16.6745134965474
chr1	10937001	10938000	*	1	0	21.3541666666667
chr1	11322001	11323000	*	1	0	10.3043478260869
chr1	11353001	11354000	*	1	0	-11.988011988012
chr1	11362001	11363000	*	1	0	12.9658385093168
chr1	11435001	11436000	*	1	0	13.7311044675565
chr1	11491001	11492000	*	1	0	-14.4405594405594
chr1	11563001	11564000	*	1	0	12.0278470509389
chr1	11747001	11748000	*	1	0	-22.2093077316472
chr1	11803001	11804000	*	1	0	14.1386711050764
chr1	11842001	11843000	*	1	0	13.4129429892142
chr1	12179001	12180000	*	1	0	13.7369627827643
chr1	12185001	12186000	*	1	0	21.1764705882353
chr1	12504001	12505000	*	1	0	-21.0506706408346
chr1	14733001	14734000	*	0.999999917627776	0	25.5297630514352
chr1	14903001	14904000	*	1	0	12.3951182303585
chr1	14927001	14928000	*	1	0	-21.4750153880589
chr1	15021001	15022000	*	1	0	29.0605794556629
chr1	15112001	15113000	*	1	0	10.8073710725176
chr1	15155001	15156000	*	1	0	12.6741854636591
chr1	15192001	15193000	*	1	0	-33.0792561257882
chr1	15407001	15408000	*	1	0	-15.7553290083411
chr1	15723001	15724000	*	1	0	-36.0402057035998
chr1	15759001	15760000	*	1	0	14.3335406101891
chr1	15837001	15838000	*	1	0	18.2034002263497
chr1	15945001	15946000	*	1	0	-10.7155509387966
chr1	16017001	16018000	*	1	0	-13.321894910178
chr1	16064001	16065000	*	1	0	15.3603840096002
chr1	16145001	16146000	*	1	0	-12.6951139412009
chr1	16207001	16208000	*	1	0	10.0111816302479
chr1	16242001	16243000	*	1	0	11.457355292207
chr1	16535001	16536000	*	1	0	-10.0270071534439
chr1	16696001	16697000	*	1	0	-14.8117960633777
chr1	16748001	16749000	*	1	0	-12.79883805374
chr1	16875001	16876000	*	1	0	14.0538006212272
chr1	17062001	17063000	*	1	0	13.4399308556612
chr1	17193001	17194000	*	1	0	-15.1135005973716
chr1	17432001	17433000	*	1	0	10.0172215843858
chr1	17576001	17577000	*	1	0	14.4284597672011
chr1	17603001	17604000	*	1	0	19.5416548146198
chr1	17733001	17734000	*	1	0	10.4376176700188
chr1	17773001	17774000	*	1	0	-27.4848746758859
chr1	18148001	18149000	*	1	0	-21.8951224214382
chr1	18155001	18156000	*	1	0	-10.1186892577621
chr1	18306001	18307000	*	1	0	-18.9880952380952
chr1	18542001	18543000	*	1	0	13.6247329130286
chr1	18557001	18558000	*	1	0	10.0401436003632
chr1	18662001	18663000	*	1	0	13.5091277890466
chr1	18684001	18685000	*	1	0	13.3137432188065
chr1	18724001	18725000	*	1	0	29.6367002198311
chr1	18901001	18902000	*	1	0	10.5675459632294
chr1	18924001	18925000	*	1	0	-12.6259705207074
chr1	18928001	18929000	*	1	0	-11.4796439127
chr1	18938001	18939000	*	1	0	14.5989304812834
chr1	18949001	18950000	*	1	0	11.6510333954094
chr1	19036001	19037000	*	1	0	13.4424903982211
chr1	19288001	19289000	*	1	0	-13.5949741724465
chr1	19455001	19456000	*	1	0	10.9110522226539
chr1	19800001	19801000	*	1	0	-39.99243999244
chr1	19955001	19956000	*	1	0	13.9476133492887
chr1	20348001	20349000	*	1	0	-12.2990789236048
chr1	20447001	20448000	*	1	0	-12.8188583473136
chr1	20476001	20477000	*	1	0	13.1609045810877
chr1	21537001	21538000	*	1	0	10.126582278481
chr1	21574001	21575000	*	1	0	16.3297150610583
chr1	21604001	21605000	*	1	0	11.3464696223317
chr1	21639001	21640000	*	1	0	-15.5442230432237
chr1	21814001	21815000	*	1	0	14.5614315490787
chr1	21903001	21904000	*	1	0	11.9524932614555
chr1	22210001	22211000	*	1	0	12.8188775510204
chr1	22401001	22402000	*	1	0	-10.6073274551535
chr1	22613001	22614000	*	1	0	26.0606060606061
chr1	22739001	22740000	*	1	0	-22.9304037328309
chr1	23092001	23093000	*	1	0	-10.8512970405554
chr1	23248001	23249000	*	1	0	11.5520282186949
chr1	24109001	24110000	*	1	0	19.2956349206349
chr1	24143001	24144000	*	1	0	-13.5170768458061
chr1	24870001	24871000	*	1	0	11.4593225704337
chr1	24970001	24971000	*	1	0	-19.2137313056099
chr1	25058001	25059000	*	1	0	-15.4760546236068
chr1	25368001	25369000	*	1	0	-10.9285953737848
chr1	25581001	25582000	*	1	0	-13.5745915406932
chr1	25747001	25748000	*	1	0	-24.1170470483233
chr1	25809001	25810000	*	1	0	19.7095987585901
chr1	25892001	25893000	*	1	0	-11.5860215053763
chr1	26006001	26007000	*	1	0	-10.9753277080209
chr1	26156001	26157000	*	1	0	12.9170549860205
chr1	26177001	26178000	*	1	0	16.5040650406504
chr1	26408001	26409000	*	1	0	-11.9047619047619
chr1	26848001	26849000	*	1	0	-12.2912127814089
chr1	27041001	27042000	*	1	0	14.0119760479042
chr1	27068001	27069000	*	1	0	18.6274509803922
chr1	27343001	27344000	*	1	0	11.4988050529191
chr1	27556001	27557000	*	1	0	13.0334254837899
chr1	27567001	27568000	*	1	0	-10.9601671994099
chr1	27836001	27837000	*	1	0	-25.2009040683074
chr1	28281001	28282000	*	1	0	20.0072081812858
chr1	28722001	28723000	*	1	0	-14
chr1	28784001	28785000	*	1	0	10.9150326797386
chr1	29138001	29139000	*	1	0	-10.8225108225108
chr1	29342001	29343000	*	1	0	-13.7068083239924
chr1	30100001	30101000	*	1	0	-10.5422794117647
chr1	30807001	30808000	*	1	0	17.2028402622569
chr1	30889001	30890000	*	1	0	-11.1699363388333
chr1	31214001	31215000	*	1	0	17.4297806848788
chr1	31686001	31687000	*	1	0	18.8634713144517
chr1	31704001	31705000	*	1	0	11.8896944805331
chr1	31732001	31733000	*	1	0	-12.9258727022334
chr1	31737001	31738000	*	1	0	-13.6243386243386
chr1	31743001	31744000	*	1	0	-18.8864418155886
chr1	31752001	31753000	*	1	0	-11.6316526610644
chr1	31754001	31755000	*	1	0	-11.2351302111242
chr1	31756001	31757000	*	1	0	-10.9974262689338
chr1	32251001	32252000	*	1	0	12.682831538593
chr1	32769001	32770000	*	1	0	-18.0058170942198
chr1	32770001	32771000	*	1	0	-16.6797411547388
chr1	32771001	32772000	*	1	0	-14.030656897802
chr1	33653001	33654000	*	1	0	-14.9698688408366
chr1	33664001	33665000	*	1	0	-12.8560548362529
chr1	34090001	34091000	*	1	0	10.0886732474486
chr1	34162001	34163000	*	1	0	-37.0541288886476
chr1	34843001	34844000	*	1	0	-19.1275611368143
chr1	35120001	35121000	*	1	0	17.3295454545455
chr1	35146001	35147000	*	1	0	11.6188612010339
chr1	36176001	36177000	*	1	0	-12.2932673204467
chr1	36466001	36467000	*	1	0	-15.6737588652482
chr1	36485001	36486000	*	1	0	10.9425287356322
chr1	36730001	36731000	*	1	0	16.5969593461431
chr1	36846001	36847000	*	1	0	-16.7381714907245
chr1	36995001	36996000	*	1	0	22.0754716981132
chr1	37051001	37052000	*	1	0	14.4097222222222
chr1	37083001	37084000	*	1	0	-15.8825779307707
chr1	37600001	37601000	*	1	0	-10.4154327777308
chr1	38292001	38293000	*	1	0	13.2974958967641
chr1	38561001	38562000	*	1	0	16.6078431372549
chr1	38783001	38784000	*	1	0	16.3055484006164
chr1	38784001	38785000	*	1	0	15.1069655560674
chr1	39259001	39260000	*	1	0	11.1055688174725
chr1	39273001	39274000	*	1	0	10.5614973262032
chr1	39922001	39923000	*	1	0	-10.5586295301687
chr1	40312001	40313000	*	1	0	19.7806451612903
chr1	40831001	40832000	*	1	0	-14.2172140973388
chr1	40838001	40839000	*	1	0	16.1398318280909
chr1	41379001	41380000	*	1	0	10.2149349054286
chr1	41495001	41496000	*	1	0	17.751638848854
chr1	41522001	41523000	*	0.999999919362122	0	16.4631388511986
chr1	41739001	41740000	*	1	0	10.487184504011
chr1	43999001	44000000	*	1	0	-10.9346671846672
chr1	44017001	44018000	*	1	0	12.2053872053872
chr1	44238001	44239000	*	1	0	14.3828614018772
chr1	44423001	44424000	*	1	0	17.3930672384408
chr1	44660001	44661000	*	1	0	-11.0235780534138
chr1	45013001	45014000	*	1	0	-14.9592931280627
chr1	45327001	45328000	*	1	0	-14.2508640554183
chr1	45590001	45591000	*	1	0	-11.3477334955887
chr1	46332001	46333000	*	1	0	19.6561527006904
chr1	46479001	46480000	*	1	0	12.4889543446244
chr1	47638001	47639000	*	1	0	12.4455871996856
chr1	47986001	47987000	*	1	0	-16.6012468252136
chr1	50430001	50431000	*	1	0	23.7277930438473
chr1	50620001	50621000	*	1	0	18.036750483559
chr1	51297001	51298000	*	1	0	13.6322079638707
chr1	51325001	51326000	*	1	0	-15.0034317089911
chr1	53063001	53064000	*	1	0	-13.1564090183115
chr1	53123001	53124000	*	1	0	12.4831309041835
chr1	53470001	53471000	*	1	0	12.7584307461827
chr1	53644001	53645000	*	1	0	-13.5387437945176
chr1	54122001	54123000	*	1	0	-13.3700882117081
chr1	54391001	54392000	*	1	0	-14.9829968887924
chr1	54454001	54455000	*	1	0	-22.0512820512821
chr1	54806001	54807000	*	1	0	-16.802743345123
chr1	55039001	55040000	*	1	0	-14.0298047936634
chr1	56506001	56507000	*	1	0	30.1529255319149
chr1	59921001	59922000	*	1	0	17.0063668762263
chr1	61142001	61143000	*	1	0	12.7125335579302
chr1	61728001	61729000	*	1	0	-15.0552351158471
chr1	62194001	62195000	*	1	0	21.995561625128
chr1	62783001	62784000	*	1	0	20.4035020936429
chr1	67182001	67183000	*	1	0	-12.1621621621622
chr1	68238001	68239000	*	1	0	-13.0160550458716
chr1	68343001	68344000	*	1	0	-11.2017245409449
chr1	80634001	80635000	*	1	0	-13.0500550055005
chr1	81557001	81558000	*	1	0	11.1876239085502
chr1	82078001	82079000	*	1	0	12.0769392474248
chr1	84620001	84621000	*	1	0	11.8931513297246
chr1	86421001	86422000	*	1	0	21.7329036877909
chr1	87412001	87413000	*	1	0	24.9207355738744
chr1	89303001	89304000	*	1	0	-12.0733283083881
chr1	89757001	89758000	*	1	0	18.3080808080808
chr1	90712001	90713000	*	1	0	-13.4555999096181
chr1	90835001	90836000	*	1	0	-14.0222799048237
chr1	90839001	90840000	*	1	0	-17.6585365853659
chr1	90850001	90851000	*	1	0	16.5643180349063
chr1	91091001	91092000	*	1	0	-32.855547282204
chr1	91592001	91593000	*	1	0	-19.6818849251818
chr1	92480001	92481000	*	1	0	-10.8170386687465
chr1	93181001	93182000	*	1	0	21.3895394223263
chr1	94351001	94352000	*	1	0	21.3762626262626
chr1	95383001	95384000	*	1	0	12.3789282239986
chr1	99645001	99646000	*	1	0	12.037037037037
chr1	99765001	99766000	*	1	0	13.4538512021956
chr1	101239001	101240000	*	1	0	-17.7400392080877
chr1	101240001	101241000	*	1	0	-11.7577582213988
chr1	102970001	102971000	*	1	0	20.4444444444444
chr1	103051001	103052000	*	1	0	10.7142857142857
chr1	109114001	109115000	*	1	0	10.1141823173395
chr1	109250001	109251000	*	1	0	-24.7387315516554
chr1	109255001	109256000	*	1	0	-11.2196919636049
chr1	109264001	109265000	*	1	0	-15.87347886453
chr1	109273001	109274000	*	1	0	-13.0799880837119
chr1	109280001	109281000	*	1	0	-40.0935189212701
chr1	109543001	109544000	*	1	0	-10.3320363305298
chr1	109615001	109616000	*	1	0	12.9120879120879
chr1	109712001	109713000	*	1	0	-15.3782998610585
chr1	109929001	109930000	*	1	0	12.7403414195867
chr1	111962001	111963000	*	1	0	12.6244931062449
chr1	112711001	112712000	*	1	0	24.7998314369996
chr1	112723001	112724000	*	1	0	14.0981820983474
chr1	114512001	114513000	*	1	0	11.4133409485733
chr1	115655001	115656000	*	1	0	17.1670063049633
chr1	115707001	115708000	*	1	0	-14.1459484346225
chr1	116167001	116168000	*	1	0	11.8022328548644
chr1	116656001	116657000	*	1	0	-11.4503816793893
chr1	143735001	143736000	*	1	0	10.9291338582677
chr1	145719001	145720000	*	1	0	11.1114980151821
chr1	145920001	145921000	*	1	0	-12.4238060481723
chr1	146049001	146050000	*	1	0	11.425088169983
chr1	147587001	147588000	*	1	0	10.1680949241925
chr1	147769001	147770000	*	1	0	19.4194194194194
chr1	147794001	147795000	*	1	0	13.973063973064
chr1	148160001	148161000	*	1	0	14.5904827270647
chr1	148362001	148363000	*	1	0	-17.8720309817948
chr1	149900001	149901000	*	1	0	-14.4915322907382
chr1	150066001	150067000	*	1	0	10.2558416065834
chr1	150159001	150160000	*	1	0	-21.6343365341239
chr1	150237001	150238000	*	1	0	-19.8173296478789
chr1	150550001	150551000	*	1	0	15.6125356125356
chr1	150622001	150623000	*	1	0	15.2336122733612
chr1	151131001	151132000	*	1	0	-16.7501935282267
chr1	151132001	151133000	*	1	0	-12.4301959589806
chr1	151254001	151255000	*	1	0	20.9881058389518
chr1	151372001	151373000	*	1	0	18.3982683982684
chr1	151709001	151710000	*	1	0	-12.1145717463849
chr1	151716001	151717000	*	1	0	-11.1002921129503
chr1	152035001	152036000	*	1	0	27.4467458525572
chr1	152037001	152038000	*	1	0	14.0499434828966
chr1	153698001	153699000	*	1	0	12.5162530386116
chr1	153790001	153791000	*	1	0	-15.8691910499139
chr1	154486001	154487000	*	1	0	18.0303549012895
chr1	154503001	154504000	*	1	0	-31.9191368230862
chr1	154726001	154727000	*	1	0	10.522628683308
chr1	155651001	155652000	*	1	0	-24.0116178255592
chr1	155958001	155959000	*	1	0	-19.0795559666975
chr1	155991001	155992000	*	1	0	-29.2817281728173
chr1	156126001	156127000	*	1	0	29.4022988505747
chr1	156245001	156246000	*	1	0	-10.2161558418388
chr1	156389001	156390000	*	1	0	-14.8975156064397
chr1	156646001	156647000	*	1	0	11.6848818354383
chr1	156647001	156648000	*	1	0	13.1006815632819
chr1	156676001	156677000	*	1	0	10.0516575660975
chr1	157279001	157280000	*	1	0	15.7512732379675
chr1	157490001	157491000	*	1	0	23.7575456875879
chr1	157530001	157531000	*	1	0	-18.9921090387374
chr1	157963001	157964000	*	1	0	10.0005352172982
chr1	158011001	158012000	*	1	0	21.6169154228856
chr1	158180001	158181000	*	1	0	14.3518442341972
chr1	159827001	159828000	*	1	0	11.3207547169811
chr1	159855001	159856000	*	1	0	14.7151823720043
chr1	160091001	160092000	*	1	0	-24.1596638655462
chr1	160092001	160093000	*	1	0	-29.6739636702375
chr1	160093001	160094000	*	1	0	-21.9718421469703
chr1	160095001	160096000	*	1	0	-13.2122550003345
chr1	160124001	160125000	*	1	0	13.5300207039337
chr1	160190001	160191000	*	1	0	-18.4478728377747
chr1	160193001	160194000	*	1	0	-15.8006501677852
chr1	160647001	160648000	*	1	0	11.9738751814224
chr1	161098001	161099000	*	1	0	-11.6403562109865
chr1	161404001	161405000	*	1	0	10.3518369019074
chr1	161531001	161532000	*	1	0	16.2630392886641
chr1	162274001	162275000	*	1	0	-14.0512874630646
chr1	162390001	162391000	*	1	0	23.0769230769231
chr1	167430001	167431000	*	1	0	-23.1253670952163
chr1	167502001	167503000	*	1	0	-11.6497642271171
chr1	167603001	167604000	*	1	0	13.2439024390244
chr1	167697001	167698000	*	1	0	17.3202001250782
chr1	168462001	168463000	*	1	0	-12.0056899004267
chr1	169882001	169883000	*	1	0	-23.3134920634921
chr1	170665001	170666000	*	1	0	11.4080157183605
chr1	171359001	171360000	*	0.9999999211346	0	-11.9352088661552
chr1	172322001	172323000	*	1	0	-20.3709155136885
chr1	173961001	173962000	*	1	0	-18.7430323299888
chr1	174802001	174803000	*	1	0	-12.6010003847634
chr1	174874001	174875000	*	1	0	23.9259911894273
chr1	175668001	175669000	*	1	0	11.8147203430557
chr1	176904001	176905000	*	1	0	-15.4494012370049
chr1	178037001	178038000	*	1	0	-20.9785681037798
chr1	178486001	178487000	*	1	0	10.1355635032731
chr1	178540001	178541000	*	1	0	-27.1572871572872
chr1	178943001	178944000	*	1	0	21.0869565217391
chr1	179089001	179090000	*	1	0	-13.3833698768764
chr1	179586001	179587000	*	1	0	-10.2013163871334
chr1	180196001	180197000	*	1	0	-12.556164961502
chr1	180947001	180948000	*	1	0	-11.0485328883326
chr1	181161001	181162000	*	1	0	-22.4479240137302
chr1	181189001	181190000	*	1	0	-36.354361080005
chr1	181728001	181729000	*	1	0	-14.6403200783865
chr1	182838001	182839000	*	1	0	-13.2942335752591
chr1	183598001	183599000	*	1	0	11.8022328548644
chr1	183932001	183933000	*	1	0	-12.2522522522523
chr1	184649001	184650000	*	1	0	-12.3636363636364
chr1	191577001	191578000	*	1	0	16.0024906600249
chr1	192054001	192055000	*	1	0	17.8485013623978
chr1	195763001	195764000	*	1	0	-18.1154499151104
chr1	197914001	197915000	*	1	0	18.4146145824978
chr1	197921001	197922000	*	1	0	12.2111436950147
chr1	197929001	197930000	*	1	0	12.7049092621127
chr1	199272001	199273000	*	1	0	15.365296803653
chr1	199996001	199997000	*	1	0	23.4677087618264
chr1	200411001	200412000	*	1	0	10.6144264733222
chr1	200981001	200982000	*	1	0	11.8279569892473
chr1	201009001	201010000	*	1	0	-10.1491101491102
chr1	201025001	201026000	*	1	0	23.1081579918789
chr1	201144001	201145000	*	1	0	-29.2625926110089
